filename,original_path,category,top_labels,subject_tags,environment_tags,action_tags,style_tags,face_count,confidence_summary,tag_source,analysis_source,processing_seconds,approved,date_processed
- credit_signatureedits.com - boyechik_paris_1.dng,C:\Users\rodri\Desktop\Side_A\input_images\- credit_signatureedits.com - boyechik_paris_1.dng,Other,"fashion, dress, pink, waist, day dress, one-piece garment, fashion model",person,,,portrait,1,fashion(0.95); dress(0.90); pink(0.87); waist(0.86); day dress(0.86),preview_fallback,preview,3.257,false,2026-04-05T03:47:31.025204+00:00
- credit_signatureedits.com - tag @wutkaicheung_DSC02467.ARW,C:\Users\rodri\Desktop\Side_A\input_images\- credit_signatureedits.com - tag @wutkaicheung_DSC02467.ARW,Other,"chinese architecture, japanese architecture, architecture, spring, temple, pagoda, stairs",person,,,portrait,1,chinese architecture(0.97); japanese architecture(0.94); architecture(0.94); spring(0.85); temple(0.74),preview_fallback,preview,1.965,false,2026-04-05T03:47:32.998587+00:00
- credit_signatureedits.com - tag @wutkaicheung_DSC03768.ARW,C:\Users\rodri\Desktop\Side_A\input_images\- credit_signatureedits.com - tag @wutkaicheung_DSC03768.ARW,Outdoor,"coast, headland, promontory, coastal and oceanic landforms, terrain, rock, sea",,,,,0,coast(0.97); headland(0.96); promontory(0.95); coastal and oceanic landforms(0.95); terrain(0.94),preview_fallback,preview,2.150,false,2026-04-05T03:47:35.154935+00:00
credit @signatureeditsco - signatureedits.com IMG_4430.cr2,C:\Users\rodri\Desktop\Side_A\input_images\credit @signatureeditsco - signatureedits.com IMG_4430.cr2,Other,"beauty, fashion, summer, long hair, spring, people in nature, portrait photography",person,,,portrait,1,beauty(0.97); fashion(0.95); summer(0.94); long hair(0.88); spring(0.87),preview_fallback,preview,4.228,false,2026-04-05T03:47:39.387915+00:00
free raws from signatureedits.com - tag @wutkaicheung_DSC00965.ARW,C:\Users\rodri\Desktop\Side_A\input_images\free raws from signatureedits.com - tag @wutkaicheung_DSC00965.ARW,Outdoor,"water, boat, skyscraper, watercraft, city, atmospheric phenomenon, high-rise building",,outdoor,,,0,water(0.98); boat(0.97); skyscraper(0.97); watercraft(0.96); city(0.96),preview_fallback,preview,2.135,false,2026-04-05T03:47:41.528286+00:00
P1060804.dng,C:\Users\rodri\Desktop\Side_A\input_images\P1060804.dng,Outdoor,"mountainous landforms, mountain, highland, rock, terrain, geological formation, atmospheric phenomenon",,outdoor,,,0,mountainous landforms(0.98); mountain(0.96); highland(0.93); rock(0.92); terrain(0.91),preview_fallback,preview,2.682,false,2026-04-05T03:47:44.233481+00:00
P1061136.dng,C:\Users\rodri\Desktop\Side_A\input_images\P1061136.dng,Outdoor,"mountainous landforms, mountain, rock, adventure, highland, terrain, hill",person,outdoor,,portrait,1,mountainous landforms(0.99); mountain(0.98); rock(0.94); adventure(0.94); highland(0.93),preview_fallback,preview,2.966,false,2026-04-05T03:47:47.204583+00:00
Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC01943.ARW,C:\Users\rodri\Desktop\Side_A\input_images\Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC01943.ARW,Other,"cat, felidae, carnivores, felinae, fur, whiskers, tail",cat,,,,0,cat(1.00); felidae(0.99); carnivores(0.97); felinae(0.97); fur(0.90),preview_fallback,preview,1.509,false,2026-04-05T03:47:48.718857+00:00
Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC04870.ARW,C:\Users\rodri\Desktop\Side_A\input_images\Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC04870.ARW,Other,"people in nature, field, agriculture, lavender, english lavender, plantation",person,,,portrait,1,people in nature(0.84); field(0.82); agriculture(0.72); lavender(0.63); english lavender(0.53),preview_fallback,preview,1.768,false,2026-04-05T03:47:50.492602+00:00
Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC05627.ARW,C:\Users\rodri\Desktop\Side_A\input_images\Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC05627.ARW,Other,"cat, felidae, whiskers, carnivores, felinae, snout, fur",cat,,,,0,cat(1.00); felidae(0.99); whiskers(0.98); carnivores(0.97); felinae(0.97),preview_fallback,preview,1.848,false,2026-04-05T03:47:52.347989+00:00
Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC07126.ARW,C:\Users\rodri\Desktop\Side_A\input_images\Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC07126.ARW,Other,"spire, landmark, finial, place of worship, temple, tourist attraction, pagoda",,,,,0,spire(0.93); landmark(0.92); finial(0.91); place of worship(0.87); temple(0.84),preview_fallback,preview,3.318,false,2026-04-05T03:47:55.671674+00:00
tag @ryanbreitkreutz - free raws from @signatureeditsco - DSC06683.dng,C:\Users\rodri\Desktop\Side_A\input_images\tag @ryanbreitkreutz - free raws from @signatureeditsco - DSC06683.dng,Outdoor,"mountainous landforms, atmospheric phenomenon, mountain, highland, hill, terrain, wilderness",,outdoor,,,0,mountainous landforms(0.98); atmospheric phenomenon(0.97); mountain(0.96); highland(0.92); hill(0.92),preview_fallback,preview,6.222,false,2026-04-05T03:48:01.899863+00:00
