filename,original_path,suggested_keywords,primary_category,notes
- credit_signatureedits.com - boyechik_paris_1.dng,C:\Users\rodri\Desktop\Side_A\input_images\- credit_signatureedits.com - boyechik_paris_1.dng,"portrait, person, fashion, dress, pink, waist, day dress, one-piece garment, fashion model",Other,auto-generated
- credit_signatureedits.com - tag @wutkaicheung_DSC02467.ARW,C:\Users\rodri\Desktop\Side_A\input_images\- credit_signatureedits.com - tag @wutkaicheung_DSC02467.ARW,"portrait, person, chinese architecture, japanese architecture, architecture, spring, temple, pagoda, stairs",Other,auto-generated
- credit_signatureedits.com - tag @wutkaicheung_DSC03768.ARW,C:\Users\rodri\Desktop\Side_A\input_images\- credit_signatureedits.com - tag @wutkaicheung_DSC03768.ARW,"coast, headland, promontory, coastal and oceanic landforms, terrain, rock, sea",Outdoor,auto-generated
credit @signatureeditsco - signatureedits.com IMG_4430.cr2,C:\Users\rodri\Desktop\Side_A\input_images\credit @signatureeditsco - signatureedits.com IMG_4430.cr2,"portrait, person, beauty, fashion, summer, long hair, spring, people in nature, portrait photography",Other,auto-generated
free raws from signatureedits.com - tag @wutkaicheung_DSC00965.ARW,C:\Users\rodri\Desktop\Side_A\input_images\free raws from signatureedits.com - tag @wutkaicheung_DSC00965.ARW,"outdoor, water, boat, skyscraper, watercraft, city, atmospheric phenomenon, high-rise building",Outdoor,auto-generated
P1060804.dng,C:\Users\rodri\Desktop\Side_A\input_images\P1060804.dng,"outdoor, mountainous landforms, mountain, highland, rock, terrain, geological formation, atmospheric phenomenon",Outdoor,auto-generated
P1061136.dng,C:\Users\rodri\Desktop\Side_A\input_images\P1061136.dng,"portrait, person, outdoor, mountainous landforms, mountain, rock, adventure, highland, terrain, hill",Outdoor,auto-generated
Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC01943.ARW,C:\Users\rodri\Desktop\Side_A\input_images\Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC01943.ARW,"cat, felidae, carnivores, felinae, fur, whiskers, tail",Other,auto-generated
Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC04870.ARW,C:\Users\rodri\Desktop\Side_A\input_images\Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC04870.ARW,"portrait, person, people in nature, field, agriculture, lavender, english lavender, plantation",Other,auto-generated
Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC05627.ARW,C:\Users\rodri\Desktop\Side_A\input_images\Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC05627.ARW,"cat, felidae, whiskers, carnivores, felinae, snout, fur",Other,auto-generated
Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC07126.ARW,C:\Users\rodri\Desktop\Side_A\input_images\Tag @ryanbreitkreutz - Free files from @signatureeditsco DSC07126.ARW,"spire, landmark, finial, place of worship, temple, tourist attraction, pagoda",Other,auto-generated
tag @ryanbreitkreutz - free raws from @signatureeditsco - DSC06683.dng,C:\Users\rodri\Desktop\Side_A\input_images\tag @ryanbreitkreutz - free raws from @signatureeditsco - DSC06683.dng,"outdoor, mountainous landforms, atmospheric phenomenon, mountain, highland, hill, terrain, wilderness",Outdoor,auto-generated
tag @ryanbreitkreutz - free raws from @signatureeditsco DSC01139.ARW,C:\Users\rodri\Desktop\Side_A\input_images\tag @ryanbreitkreutz - free raws from @signatureeditsco DSC01139.ARW,"darkness, backlighting, silhouette, night, window treatment",Other,auto-generated
tag @ryanbreitkreutz - free raws from @signatureeditsco DSC01179.ARW,C:\Users\rodri\Desktop\Side_A\input_images\tag @ryanbreitkreutz - free raws from @signatureeditsco DSC01179.ARW,"high-rise building, metropolitan area, skyscraper, tower, apartment, evening, metropolis",Other,auto-generated
tag @ryanbreitkreutz - free raws from @signatureeditsco DSC01805.ARW,C:\Users\rodri\Desktop\Side_A\input_images\tag @ryanbreitkreutz - free raws from @signatureeditsco DSC01805.ARW,"mansion, stairs",Other,auto-generated
tag @signatureeditsco - free raws from signatureedits.com DSC_9514.NEF,C:\Users\rodri\Desktop\Side_A\input_images\tag @signatureeditsco - free raws from signatureedits.com DSC_9514.NEF,"outdoor, water, mountainous landforms, body of water, water resources, mountain, watercourse, highland",Outdoor,auto-generated
